width_pitch,width_rib_a,width_rib_air,height_anode,height_cathode,height_electrolyte,current,max_temperature,min_temperature,Delta_T
2,1,0.8,0.41,0.02,0.01,3505.30513530118,1056.83907515759,955.013473162348,101.825601995242
2,1,0.8,0.41,0.02,0.014,3356.50746927138,1057.54271966113,959.859280661236,97.683438999894
2,1,0.8,0.41,0.025,0.01,3508.74451171485,1056.83346329111,954.906408548047,101.927054743063
2,1,0.8,0.41,0.025,0.014,3359.81991555251,1057.53734921896,959.755432600535,97.7819166184249
2,1,0.8,0.41,0.03,0.01,3511.20396856538,1056.83244077919,954.829628812712,102.002811966478
2,1,0.8,0.41,0.03,0.014,3362.19191546278,1057.53644638551,959.681578817813,97.8548675676971
2,1,0.8,0.46,0.02,0.01,3375.91814196969,1057.43996895653,959.224071449173,98.215897507357
2,1,0.8,0.46,0.02,0.014,3238.41820038314,1058.08478334888,963.714460903209,94.3703224456709
2,1,0.8,0.46,0.025,0.01,3379.37200801945,1057.43437161546,959.116059664074,98.3183119513859
2,1,0.8,0.46,0.025,0.014,3241.71451167847,1058.07953851787,963.610786674486,94.4687518433841
2,1,0.8,0.46,0.03,0.01,3381.84671016327,1057.43339573208,959.039111770418,98.394283961662
2,1,0.8,0.46,0.03,0.014,3244.06750129456,1058.07864912016,963.536609930808,94.542039189352
2,1,1,0.36,0.02,0.01,3615.8661245542,1059.58445927488,951.382420721122,108.202038553758
2,1,1,0.36,0.02,0.014,3456.92917822983,1060.19476630369,956.55110051757,103.64366578612
2,1,1,0.36,0.025,0.01,3621.74344384022,1059.57114692719,951.20456588864,108.36658103855
2,1,1,0.36,0.025,0.014,3462.68977038511,1060.18169323126,956.374999008595,103.806694222665
2,1,1,0.36,0.03,0.01,3626.10451687668,1059.56328377455,951.07164934006,108.49163443449
2,1,1,0.36,0.03,0.014,3466.96595622643,1060.17398465276,956.244007952566,103.929976700194
2,1,1,0.41,0.02,0.01,3482.37972634567,1060.08625858955,955.719097301894,104.367161287656
2,1,1,0.41,0.02,0.014,3334.39681928652,1060.64792800835,960.545967755551,100.101960252799
2,1,1,0.41,0.025,0.01,3488.39451386692,1060.07275843731,955.536114179458,104.536644257852
2,1,1,0.41,0.025,0.014,3340.19417416638,1060.63489351417,960.367766816516,100.267126697654
2,1,1,0.41,0.03,0.01,3492.85822992622,1060.06477082094,955.399415153635,104.665355667305
2,1,1,0.41,0.03,0.014,3344.49388079652,1060.62722344639,960.235189891562,100.392033554828
2,1,1,0.46,0.02,0.01,3353.09539194296,1060.56839879322,959.931882418832,100.636516374388
2,1,1,0.46,0.02,0.014,3216.58858713561,1061.08244173723,964.395131922585,96.687309814645
2,1,1,0.46,0.025,0.01,3359.13270067474,1060.55484184245,959.746861261367,100.807980581083
2,1,1,0.46,0.025,0.014,3222.36357986717,1061.06951216595,964.216918866648,96.852593299302
2,1,1,0.46,0.03,0.01,3363.61296520454,1060.54682650478,959.608957071295,100.937869433485
2,1,1,0.46,0.03,0.014,3226.64151622876,1061.06190665077,964.084296530056,96.977610120714
2,1,1.2,0.36,0.02,0.01,3588.44503649366,1061.96877726402,952.211413532139,109.757363731881
2,1,1.2,0.36,0.02,0.014,3430.09686103319,1062.4717127658,957.371344330341,105.100368435459
2,1,1.2,0.36,0.025,0.01,3596.92078854783,1061.95005696755,951.95952488367,109.99053208388
2,1,1.2,0.36,0.025,0.014,3438.38610601545,1062.45333689495,957.12237181029,105.33096508466
2,1,1.2,0.36,0.03,0.01,3603.41750468214,1061.93667758778,951.765048906192,110.171628681588
2,1,1.2,0.36,0.03,0.014,3444.73311321565,1062.44020884779,956.930157834757,105.510051013033
2,1,1.2,0.41,0.02,0.01,3454.53733688951,1062.38794531571,956.568664235868,105.819281079842
2,1,1.2,0.41,0.02,0.014,3307.5629897354,1062.84966871583,961.370698560467,101.478970155363
2,1,1.2,0.41,0.025,0.01,3463.17770723912,1062.36879069515,956.30957509202,106.05921560313
2,1,1.2,0.41,0.025,0.014,3315.90041488176,1062.83113981345,961.118874622831,101.712265190619
2,1,1.2,0.41,0.03,0.01,3469.80014095214,1062.35508377557,956.109438475881,106.245645299689
2,1,1.2,0.41,0.03,0.014,3322.28155846637,1062.81794322403,960.924709378974,101.893233845056
